white,black,outcome,white_elo,black_elo
anishgiri,vahe_s,1.0,2822,2702
vahe_s,anishgiri,1.0,2694,2860
anishgiri,vahe_s,1.0,2843,2697
vahe_s,anishgiri,0.5,2695,2856
vahe_s,anishgiri,0.0,2696,2851
anishgiri,vahe_s,0.5,2869,2693
anishgiri,feokl1995,0.0,2788,2706
anishgiri,vladimirovich9000,1.0,2779,2730
rasulovvugar,anishgiri,0.0,2636,2772
rasulovvugar,anishgiri,0.0,2633,2759
feokl1995,anishgiri,1.0,2723,2783
rasulovvugar,anishgiri,0.0,2645,2759
anishgiri,hitter1999,1.0,2750,2575
anishgiri,hitter1999,1.0,2771,2554
